formula,class,source,mp_id,e_above_hull,formation_e,is_stable,confidence,n_atoms_cell,sg,elements,ang_mom,predicted_phase,cif_filename
MoNbNiTiV,hea,prototype,,,,,low,16,BCC_SQS,Mo;Nb;Ni;Ti;V,"{""Mo"": ""d"", ""Nb"": ""d"", ""Ni"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,MoNbNiTiV_bcc.cif
NbNiTaTiV,hea,prototype,,,,,low,16,BCC_SQS,Nb;Ni;Ta;Ti;V,"{""Nb"": ""d"", ""Ni"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,NbNiTaTiV_bcc.cif
NbNiTiVW,hea,prototype,,,,,low,16,BCC_SQS,Nb;Ni;Ti;V;W,"{""Nb"": ""d"", ""Ni"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,NbNiTiVW_bcc.cif
AlNbNiTiV,hea,prototype,,,,,low,16,BCC_SQS,Al;Nb;Ni;Ti;V,"{""Al"": ""p"", ""Nb"": ""d"", ""Ni"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlNbNiTiV_bcc.cif
MoNiTaTiV,hea,prototype,,,,,low,16,BCC_SQS,Mo;Ni;Ta;Ti;V,"{""Mo"": ""d"", ""Ni"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,MoNiTaTiV_bcc.cif
MoNiTiVW,hea,prototype,,,,,low,16,BCC_SQS,Mo;Ni;Ti;V;W,"{""Mo"": ""d"", ""Ni"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,MoNiTiVW_bcc.cif
AlMoNiTiV,hea,prototype,,,,,low,16,BCC_SQS,Al;Mo;Ni;Ti;V,"{""Al"": ""p"", ""Mo"": ""d"", ""Ni"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlMoNiTiV_bcc.cif
NiTaTiVW,hea,prototype,,,,,low,16,BCC_SQS,Ni;Ta;Ti;V;W,"{""Ni"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,NiTaTiVW_bcc.cif
AlNiTaTiV,hea,prototype,,,,,low,16,BCC_SQS,Al;Ni;Ta;Ti;V,"{""Al"": ""p"", ""Ni"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlNiTaTiV_bcc.cif
AlNiTiVW,hea,prototype,,,,,low,16,BCC_SQS,Al;Ni;Ti;V;W,"{""Al"": ""p"", ""Ni"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,AlNiTiVW_bcc.cif
CuMoNbTiV,hea,prototype,,,,,medium,16,BCC_SQS,Cu;Mo;Nb;Ti;V,"{""Cu"": ""d"", ""Mo"": ""d"", ""Nb"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CuMoNbTiV_bcc.cif
CuNbTaTiV,hea,prototype,,,,,low,16,BCC_SQS,Cu;Nb;Ta;Ti;V,"{""Cu"": ""d"", ""Nb"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CuNbTaTiV_bcc.cif
CuNbTiVW,hea,prototype,,,,,medium,16,BCC_SQS,Cu;Nb;Ti;V;W,"{""Cu"": ""d"", ""Nb"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,CuNbTiVW_bcc.cif
AlCuNbTiV,hea,prototype,,,,,medium,16,BCC_SQS,Al;Cu;Nb;Ti;V,"{""Al"": ""p"", ""Cu"": ""d"", ""Nb"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlCuNbTiV_bcc.cif
CuMoTaTiV,hea,prototype,,,,,medium,16,BCC_SQS,Cu;Mo;Ta;Ti;V,"{""Cu"": ""d"", ""Mo"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CuMoTaTiV_bcc.cif
CuMoTiVW,hea,prototype,,,,,medium,16,BCC_SQS,Cu;Mo;Ti;V;W,"{""Cu"": ""d"", ""Mo"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,CuMoTiVW_bcc.cif
AlCuMoTiV,hea,prototype,,,,,medium,16,BCC_SQS,Al;Cu;Mo;Ti;V,"{""Al"": ""p"", ""Cu"": ""d"", ""Mo"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlCuMoTiV_bcc.cif
CuTaTiVW,hea,prototype,,,,,medium,16,BCC_SQS,Cu;Ta;Ti;V;W,"{""Cu"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,CuTaTiVW_bcc.cif
AlCuTaTiV,hea,prototype,,,,,medium,16,BCC_SQS,Al;Cu;Ta;Ti;V,"{""Al"": ""p"", ""Cu"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlCuTaTiV_bcc.cif
AlCuTiVW,hea,prototype,,,,,medium,16,BCC_SQS,Al;Cu;Ti;V;W,"{""Al"": ""p"", ""Cu"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,AlCuTiVW_bcc.cif
