formula,class,sg,a,n_atoms_cell,t_factor,mu_factor,vec,delta_percent,predicted_phase,confidence,elements,ang_mom
CrCuMnNbW,hea,BCC_SQS,3.032,16,,,7.0,5.69,mixed,low,Cr;Cu;Mn;Nb;W,"{""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""Nb"": ""d"", ""W"": ""d""}"
AlCrCuMnNb,hea,BCC_SQS,3.062,16,,,6.4,6.18,bcc,low,Al;Cr;Cu;Mn;Nb,"{""Al"": ""p"", ""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""Nb"": ""d""}"
CrCuMnMoTa,hea,BCC_SQS,3.03,16,,,7.0,5.69,mixed,low,Cr;Cu;Mn;Mo;Ta,"{""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""Ta"": ""d""}"
CrCuMnMoW,hea,BCC_SQS,3.002,16,,,7.2,4.21,mixed,low,Cr;Cu;Mn;Mo;W,"{""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""W"": ""d""}"
AlCrCuMnMo,hea,BCC_SQS,3.032,16,,,6.6,5.01,bcc,medium,Al;Cr;Cu;Mn;Mo,"{""Al"": ""p"", ""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""Mo"": ""d""}"
CrCuMnTaW,hea,BCC_SQS,3.032,16,,,7.0,5.69,mixed,low,Cr;Cu;Mn;Ta;W,"{""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""Ta"": ""d"", ""W"": ""d""}"
AlCrCuMnTa,hea,BCC_SQS,3.062,16,,,6.4,6.18,bcc,low,Al;Cr;Cu;Mn;Ta,"{""Al"": ""p"", ""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""Ta"": ""d""}"
AlCrCuMnW,hea,BCC_SQS,3.034,16,,,6.6,5.01,bcc,medium,Al;Cr;Cu;Mn;W,"{""Al"": ""p"", ""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""W"": ""d""}"
CrMnMoNbTa,hea,BCC_SQS,3.1,16,,,5.8,6.07,bcc,low,Cr;Mn;Mo;Nb;Ta,"{""Cr"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""Nb"": ""d"", ""Ta"": ""d""}"
CrMnMoNbW,hea,BCC_SQS,3.072,16,,,6.0,5.34,bcc,medium,Cr;Mn;Mo;Nb;W,"{""Cr"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""Nb"": ""d"", ""W"": ""d""}"
AlCrMnMoNb,hea,BCC_SQS,3.102,16,,,5.4,5.68,bcc,low,Al;Cr;Mn;Mo;Nb,"{""Al"": ""p"", ""Cr"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""Nb"": ""d""}"
CrMnNbTaW,hea,BCC_SQS,3.102,16,,,5.8,6.07,bcc,low,Cr;Mn;Nb;Ta;W,"{""Cr"": ""d"", ""Mn"": ""d"", ""Nb"": ""d"", ""Ta"": ""d"", ""W"": ""d""}"
AlCrMnNbTa,hea,BCC_SQS,3.132,16,,,5.2,6.27,bcc,low,Al;Cr;Mn;Nb;Ta,"{""Al"": ""p"", ""Cr"": ""d"", ""Mn"": ""d"", ""Nb"": ""d"", ""Ta"": ""d""}"
AlCrMnNbW,hea,BCC_SQS,3.104,16,,,5.4,5.68,bcc,low,Al;Cr;Mn;Nb;W,"{""Al"": ""p"", ""Cr"": ""d"", ""Mn"": ""d"", ""Nb"": ""d"", ""W"": ""d""}"
CrMnMoTaW,hea,BCC_SQS,3.072,16,,,6.0,5.34,bcc,medium,Cr;Mn;Mo;Ta;W,"{""Cr"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""Ta"": ""d"", ""W"": ""d""}"
AlCrMnMoTa,hea,BCC_SQS,3.102,16,,,5.4,5.68,bcc,low,Al;Cr;Mn;Mo;Ta,"{""Al"": ""p"", ""Cr"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""Ta"": ""d""}"
AlCrMnMoW,hea,BCC_SQS,3.074,16,,,5.6,4.78,bcc,medium,Al;Cr;Mn;Mo;W,"{""Al"": ""p"", ""Cr"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""W"": ""d""}"
AlCrMnTaW,hea,BCC_SQS,3.104,16,,,5.4,5.68,bcc,low,Al;Cr;Mn;Ta;W,"{""Al"": ""p"", ""Cr"": ""d"", ""Mn"": ""d"", ""Ta"": ""d"", ""W"": ""d""}"
CoCrCuFeNi,hea,FCC_SQS,3.6,32,,,8.8,1.27,fcc,high,Co;Cr;Cu;Fe;Ni,"{""Co"": ""d"", ""Cr"": ""d"", ""Cu"": ""d"", ""Fe"": ""d"", ""Ni"": ""d""}"
CoCrFeNbNi,hea,BCC_SQS,2.936,16,,,7.6,6.32,mixed,low,Co;Cr;Fe;Nb;Ni,"{""Co"": ""d"", ""Cr"": ""d"", ""Fe"": ""d"", ""Nb"": ""d"", ""Ni"": ""d""}"
CoCrFeMoNi,hea,BCC_SQS,2.906,16,,,7.8,4.25,mixed,low,Co;Cr;Fe;Mo;Ni,"{""Co"": ""d"", ""Cr"": ""d"", ""Fe"": ""d"", ""Mo"": ""d"", ""Ni"": ""d""}"
CoCrFeNiTa,hea,BCC_SQS,2.936,16,,,7.6,6.32,mixed,low,Co;Cr;Fe;Ni;Ta,"{""Co"": ""d"", ""Cr"": ""d"", ""Fe"": ""d"", ""Ni"": ""d"", ""Ta"": ""d""}"
CoCrFeNiW,hea,BCC_SQS,2.908,16,,,7.8,4.25,mixed,low,Co;Cr;Fe;Ni;W,"{""Co"": ""d"", ""Cr"": ""d"", ""Fe"": ""d"", ""Ni"": ""d"", ""W"": ""d""}"
AlCoCrFeNi,hea,BCC_SQS,2.938,16,,,7.2,5.44,mixed,low,Al;Co;Cr;Fe;Ni,"{""Al"": ""p"", ""Co"": ""d"", ""Cr"": ""d"", ""Fe"": ""d"", ""Ni"": ""d""}"
CoCrCuFeNb,hea,BCC_SQS,2.964,16,,,7.8,5.96,mixed,low,Co;Cr;Cu;Fe;Nb,"{""Co"": ""d"", ""Cr"": ""d"", ""Cu"": ""d"", ""Fe"": ""d"", ""Nb"": ""d""}"
CoCrCuFeMo,hea,FCC_SQS,3.69,32,,,8.0,3.9,fcc,high,Co;Cr;Cu;Fe;Mo,"{""Co"": ""d"", ""Cr"": ""d"", ""Cu"": ""d"", ""Fe"": ""d"", ""Mo"": ""d""}"
CoCrCuFeTa,hea,BCC_SQS,2.964,16,,,7.8,5.96,mixed,low,Co;Cr;Cu;Fe;Ta,"{""Co"": ""d"", ""Cr"": ""d"", ""Cu"": ""d"", ""Fe"": ""d"", ""Ta"": ""d""}"
CoCrCuFeW,hea,FCC_SQS,3.692,32,,,8.0,3.9,fcc,high,Co;Cr;Cu;Fe;W,"{""Co"": ""d"", ""Cr"": ""d"", ""Cu"": ""d"", ""Fe"": ""d"", ""W"": ""d""}"
AlCoCrCuFe,hea,BCC_SQS,2.966,16,,,7.4,5.08,mixed,low,Al;Co;Cr;Cu;Fe,"{""Al"": ""p"", ""Co"": ""d"", ""Cr"": ""d"", ""Cu"": ""d"", ""Fe"": ""d""}"
CoCrFeMoNb,hea,BCC_SQS,3.004,16,,,6.8,6.24,bcc,low,Co;Cr;Fe;Mo;Nb,"{""Co"": ""d"", ""Cr"": ""d"", ""Fe"": ""d"", ""Mo"": ""d"", ""Nb"": ""d""}"
CoCrFeNbW,hea,BCC_SQS,3.006,16,,,6.8,6.24,bcc,low,Co;Cr;Fe;Nb;W,"{""Co"": ""d"", ""Cr"": ""d"", ""Fe"": ""d"", ""Nb"": ""d"", ""W"": ""d""}"
CoCrFeMoTa,hea,BCC_SQS,3.004,16,,,6.8,6.24,bcc,low,Co;Cr;Fe;Mo;Ta,"{""Co"": ""d"", ""Cr"": ""d"", ""Fe"": ""d"", ""Mo"": ""d"", ""Ta"": ""d""}"
CoCrFeMoW,hea,BCC_SQS,2.976,16,,,7.0,4.78,mixed,low,Co;Cr;Fe;Mo;W,"{""Co"": ""d"", ""Cr"": ""d"", ""Fe"": ""d"", ""Mo"": ""d"", ""W"": ""d""}"
AlCoCrFeMo,hea,BCC_SQS,3.006,16,,,6.4,5.57,bcc,low,Al;Co;Cr;Fe;Mo,"{""Al"": ""p"", ""Co"": ""d"", ""Cr"": ""d"", ""Fe"": ""d"", ""Mo"": ""d""}"
CoCrFeTaW,hea,BCC_SQS,3.006,16,,,6.8,6.24,bcc,low,Co;Cr;Fe;Ta;W,"{""Co"": ""d"", ""Cr"": ""d"", ""Fe"": ""d"", ""Ta"": ""d"", ""W"": ""d""}"
AlCoCrFeW,hea,BCC_SQS,3.008,16,,,6.4,5.57,bcc,low,Al;Co;Cr;Fe;W,"{""Al"": ""p"", ""Co"": ""d"", ""Cr"": ""d"", ""Fe"": ""d"", ""W"": ""d""}"
