formula,class,source,status,reason,energy_eV,energy_per_atom_eV,a_initial,a_relaxed,n_atoms,volume_change_pct,confidence_update,elapsed_sec
AlCuMoNbV,hea,prototype,suspect,vol_39pct,-635.5119,-39.719494,6.296,5.3895,16,39.38,low,168.8
AlCuMoVW,hea,prototype,suspect,vol_33pct,-658.4992,-41.1562,6.24,5.5183,16,32.66,low,102.5
CuMoTaVW,hea,prototype,passed,,-730.174,-45.635875,6.236,5.6353,16,27.29,low,149.0
MoTaVWZr,hea,prototype,passed,,-547.0084,-34.188025,6.488,6.5535,16,2.95,high,55.3
HfMoNbTaV,hea,prototype,passed,,-500.5225,-31.282656,6.536,6.6102,16,3.44,high,35.7
HfNbTaVZr,hea,prototype,passed,,-435.7553,-27.234706,6.708,6.817,16,3.95,high,94.5
MoNbTaVW,hea,prototype,passed,,-572.6556,-35.790975,6.376,6.4029,16,1.27,high,23.1
AlNbTaVZr,hea,prototype,passed,,-440.8124,-27.550775,6.608,6.4123,16,9.12,high,103.6
HfMoNbVW,hea,prototype,passed,,-531.3314,-33.208213,6.48,6.5822,16,4.72,high,64.9
AlHfMoNbV,hea,prototype,passed,,-487.9713,-30.498206,6.54,6.2446,16,13.0,medium,77.1
HfNbTaVW,hea,prototype,passed,,-485.1623,-30.322644,6.54,6.6191,16,3.67,high,45.1
AlMoTaVZr,hea,prototype,passed,,-482.3615,-30.147594,6.548,6.2907,16,13.36,medium,102.1
AlMoVWZr,hea,prototype,passed,,-512.9224,-32.05765,6.492,6.3351,16,10.36,medium,107.0
AlMoNbVW,hea,prototype,passed,,-535.8748,-33.492175,6.38,6.0861,16,13.62,medium,80.2
AlMoNbTaV,hea,prototype,passed,,-505.7828,-31.611425,6.436,6.2014,16,10.88,medium,106.9
AlNbVWZr,hea,prototype,passed,,-473.4158,-29.588487,6.552,6.3845,16,11.03,medium,189.8
HfMoTaVW,hea,prototype,passed,,-524.4581,-32.778631,6.48,6.5727,16,4.31,high,64.1
AlHfMoVW,hea,prototype,passed,,-511.6535,-31.978344,6.484,6.3044,16,8.86,high,73.5
AlHfNbVW,hea,prototype,passed,,-470.758,-29.422375,6.544,6.2964,16,11.55,medium,114.2
AlTaVWZr,hea,prototype,passed,,-466.3866,-29.149162,6.552,6.3695,16,11.26,medium,189.1
AlHfNbTaV,hea,prototype,passed,,-440.0415,-27.502594,6.6,6.3952,16,12.01,medium,134.2
AlHfMoTaV,hea,prototype,passed,,-482.3133,-30.144581,6.54,6.5005,16,10.46,medium,121.7
AlNbTaVW,hea,prototype,passed,,-489.5186,-30.594912,6.44,6.2068,16,11.65,medium,153.9
AlHfTaVW,hea,prototype,passed,,-463.8134,-28.988338,6.544,6.3018,16,11.39,medium,128.0
AlMoTaVW,hea,prototype,passed,,-531.0209,-33.188806,6.38,6.1994,16,12.21,medium,177.2
CoCrFeMnTa,hea,prototype,passed,,-867.0716,-54.191975,5.896,6.3644,16,3.99,high,149.8
CoCrFeMnNb,hea,prototype,passed,,-869.494,-54.343375,5.896,6.2529,16,3.17,high,182.7
CoCrFeMnMo,hea,prototype,passed,,-902.9085,-56.431781,5.836,6.133,16,4.19,high,181.4
AlCoCrFeMn,hea,prototype,passed,,-794.6345,-49.664656,5.9,6.0542,16,6.29,high,219.1
CoCrFeMnW,hea,prototype,passed,,-895.0208,-55.9388,5.84,6.7176,16,6.51,high,264.4
CrFeMnNiW,hea,prototype,passed,,-883.477,-55.217312,5.836,6.2442,16,8.14,high,137.8
CrFeMnNbNi,hea,prototype,passed,,-860.0605,-53.753781,5.892,6.348,16,8.68,high,243.5
AlCrFeMnNi,hea,prototype,passed,,-833.4411,-52.090069,5.896,5.9106,16,7.19,high,159.0
CrFeMnMoNi,hea,prototype,passed,,-899.6556,-56.228475,5.832,6.023,16,3.2,high,229.7
CrCuFeMnNb,hea,prototype,suspect,vol_34pct,-816.8086,-51.050537,5.948,5.3926,16,33.97,low,184.2
CoCrCuFeMn,hea,prototype,passed,,-2006.8148,-62.712963,7.244,6.6205,32,25.02,low,471.1
CoCrFeMnNi,hea,prototype,passed,,-2061.0453,-64.407666,7.208,7.3401,32,4.43,high,476.4
CrFeMnNiTa,hea,prototype,passed,,-855.1076,-53.444225,5.892,6.425,16,12.4,medium,297.1
CrFeMnMoNb,hea,prototype,passed,,-713.5388,-44.596175,6.028,6.4421,16,8.02,high,173.9
